"ensembl_gene_id","external_gene_name"
"146","ENSMUSG00000003341","Atp8b3"
"147","ENSMUSG00000003344","Btbd2"
"148","ENSMUSG00000003345","Csnk1g2"
"149","ENSMUSG00000003346","Abhd17a"
"150","ENSMUSG00000003352","Cacnb3"
"151","ENSMUSG00000003354","Ccdc65"
"152","ENSMUSG00000003360","Ddx23"
"153","ENSMUSG00000003379","Cd79a"
"154","ENSMUSG00000003410","Elavl3"
"155","ENSMUSG00000003436","Dll3"
"156","ENSMUSG00000003452","Bicd1"
"157","ENSMUSG00000003476","Crhr2"
"158","ENSMUSG00000003484","Cyp4f18"
"159","ENSMUSG00000003518","Dusp3"
"160","ENSMUSG00000003531","Dgcr6"
"161","ENSMUSG00000003534","Ddr1"
"162","ENSMUSG00000003555","Cyp17a1"
"163","ENSMUSG00000003559","As3mt"
"164","ENSMUSG00000003575","Crtc1"
"165","ENSMUSG00000003604","Aven"
"166","ENSMUSG00000003617","Cp"
"167","ENSMUSG00000003623","Crot"
"168","ENSMUSG00000003662","Ciao1"
"169","ENSMUSG00000003762","Coq8b"
"170","ENSMUSG00000003778","Brd8"
"171","ENSMUSG00000003812","Dnase2a"
"172","ENSMUSG00000003814","Calr"
"173","ENSMUSG00000003873","Bax"
"174","ENSMUSG00000003934","Efnb3"
"175","ENSMUSG00000004031","Brinp2"
"176","ENSMUSG00000004044","Cavin1"
"177","ENSMUSG00000004056","Akt2"
"178","ENSMUSG00000004069","Dnaja3"
"179","ENSMUSG00000004071","Cdip1"
"180","ENSMUSG00000004096","Cwc15"
"181","ENSMUSG00000004098","Col5a3"
"182","ENSMUSG00000004099","Dnmt1"
"183","ENSMUSG00000004105","Angptl2"
"184","ENSMUSG00000004110","Cacna1e"
"185","ENSMUSG00000004113","Cacna1b"
"186","ENSMUSG00000004263","Atn1"
"187","ENSMUSG00000004267","Eno2"
"188","ENSMUSG00000004268","Emg1"
"189","ENSMUSG00000004285","Atp6v1f"
"190","ENSMUSG00000004317","Clcn5"
"191","ENSMUSG00000004319","Clcn3"
"192","ENSMUSG00000004364","Cul3"
"193","ENSMUSG00000004393","Ddx56"
"194","ENSMUSG00000004415","Col26a1"
"195","ENSMUSG00000004446","Bid"
"196","ENSMUSG00000004460","Dnajb11"
"197","ENSMUSG00000004473","Clec11a"
"198","ENSMUSG00000004530","Coro1c"
"199","ENSMUSG00000004552","Ctse"
"200","ENSMUSG00000004562","Arhgef40"
"201","ENSMUSG00000004568","Arhgef18"
"202","ENSMUSG00000004609","Cd33"
"203","ENSMUSG00000004633","Chn2"
"204","ENSMUSG00000004655","Aqp1"
"205","ENSMUSG00000004661","Arid3b"
"206","ENSMUSG00000004665","Cnn2"
"207","ENSMUSG00000004668","Abca13"
"208","ENSMUSG00000004709","Cd244a"
"209","ENSMUSG00000004730","Adgre1"
"210","ENSMUSG00000004788","Eif2b2"
"211","ENSMUSG00000004789","Dlst"
"212","ENSMUSG00000004814","Ccl24"
"213","ENSMUSG00000004815","Dgkq"
"214","ENSMUSG00000004843","Chmp2b"
"215","ENSMUSG00000004849","Ap1s1"
"216","ENSMUSG00000004885","Crabp2"
"217","ENSMUSG00000004892","Bcan"
"218","ENSMUSG00000004931","Apba3"
"219","ENSMUSG00000004947","Dtx2"
"220","ENSMUSG00000004994","Ccdc130"
"221","ENSMUSG00000005045","Chd5"
"222","ENSMUSG00000005054","Cstb"
"223","ENSMUSG00000005087","Cd44"
"224","ENSMUSG00000005102","Eif2ak4"
"225","ENSMUSG00000005124","Ccn4"
"226","ENSMUSG00000005220","Corin"
"227","ENSMUSG00000005237","Dnah2"
"228","ENSMUSG00000005338","Cadm3"
"229","ENSMUSG00000005362","Crbn"
"230","ENSMUSG00000005378","Bud23"
"231","ENSMUSG00000005442","Cic"
"232","ENSMUSG00000005470","Asf1b"
"233","ENSMUSG00000005481","Ddx39a"
"234","ENSMUSG00000005483","Dnajb1"
"235","ENSMUSG00000005506","Celf1"
"236","ENSMUSG00000005547","Cyp2a5"
"237","ENSMUSG00000005553","Atp4a"
"238","ENSMUSG00000005580","Adcy9"
"239","ENSMUSG00000005609","Ctr9"
"240","ENSMUSG00000005610","Eif4g2"
"241","ENSMUSG00000005649","Cabp5"
"242","ENSMUSG00000005681","Apoa2"
"243","ENSMUSG00000005683","Cs"
"244","ENSMUSG00000005686","Ampd3"
"245","ENSMUSG00000005687","Bcas2"
"246","ENSMUSG00000005698","Ctcf"
"247","ENSMUSG00000005705","Agrp"
"248","ENSMUSG00000005763","Cd247"
"249","ENSMUSG00000005804","Bloc1s6"
"250","ENSMUSG00000005864","Cnga2"
"251","ENSMUSG00000005871","Apc"
"252","ENSMUSG00000005949","Ctns"
"253","ENSMUSG00000005980","Dnase1"
"254","ENSMUSG00000005986","Ankrd13d"
"255","ENSMUSG00000006019","Dhx34"
"256","ENSMUSG00000006057","Atp5g1"
"257","ENSMUSG00000006134","Crkl"
"258","ENSMUSG00000006169","Clint1"
"259","ENSMUSG00000006191","Cdkal1"
"260","ENSMUSG00000006204","Cdcp3"
"261","ENSMUSG00000006216","Clcnkb"
"262","ENSMUSG00000006241","Ccdc159"
"263","ENSMUSG00000006269","Atp6v1b1"
"264","ENSMUSG00000006273","Atp6v1b2"
"265","ENSMUSG00000006299","Aamp"
"266","ENSMUSG00000006304","Arpc2"
"267","ENSMUSG00000006356","Crip2"
"268","ENSMUSG00000006360","Crip1"
"269","ENSMUSG00000006362","Cbfa2t3"
"270","ENSMUSG00000006390","Elovl1"
"271","ENSMUSG00000006398","Cdc20"
"272","ENSMUSG00000006403","Adamts4"
"273","ENSMUSG00000006457","Actn3"
"274","ENSMUSG00000006464","Bbs1"
"275","ENSMUSG00000006519","Cyba"
"276","ENSMUSG00000006546","Cryba2"
"277","ENSMUSG00000006567","Atp7b"
"278","ENSMUSG00000006585","Cdt1"
"279","ENSMUSG00000006589","Aprt"
"280","ENSMUSG00000006638","Abhd1"
"281","ENSMUSG00000006651","Aplp1"
"282","ENSMUSG00000006699","Cdc42"
"283","ENSMUSG00000006717","Acot13"
"284","ENSMUSG00000006724","Cyp27b1"
"285","ENSMUSG00000006728","Cdk4"
"286","ENSMUSG00000006731","B4galnt1"
"287","ENSMUSG00000006782","Cnp"
"288","ENSMUSG00000006932","Ctnnb1"
"289","ENSMUSG00000006941","Eif1b"
"290","ENSMUSG00000006958","Chrd"
"291","ENSMUSG00000007036","Abhd16a"
"292","ENSMUSG00000007039","Ddah2"
"293","ENSMUSG00000007041","Clic1"
"294","ENSMUSG00000007097","Atp1a2"
"295","ENSMUSG00000007107","Atp1a4"
"296","ENSMUSG00000007122","Casq1"
"297","ENSMUSG00000007379","Dennd2c"
"298","ENSMUSG00000007603","Dus3l"
"299","ENSMUSG00000007655","Cav1"
"300","ENSMUSG00000007656","Arpp19"
"301","ENSMUSG00000007659","Bcl2l1"
"302","ENSMUSG00000007682","Dio2"
"303","ENSMUSG00000007721","Ccdc124"
"304","ENSMUSG00000007739","Cct4"
"305","ENSMUSG00000007783","Cpt1c"
"306","ENSMUSG00000007827","Ankrd26"
"307","ENSMUSG00000007833","Aldh16a1"
"308","ENSMUSG00000007880","Arid1a"
"309","ENSMUSG00000007888","Crlf1"
"310","ENSMUSG00000007891","Ctsd"
"311","ENSMUSG00000007950","Abhd8"
"312","ENSMUSG00000008036","Ap2s1"
"313","ENSMUSG00000008140","Emc10"
"314","ENSMUSG00000008153","Clstn3"
"315","ENSMUSG00000008206","Cers4"
"316","ENSMUSG00000008393","Carhsp1"
"317","ENSMUSG00000008398","Elk3"
"318","ENSMUSG00000008438","Adam21"
"319","ENSMUSG00000008475","Arpc5"
"320","ENSMUSG00000008489","Elavl2"
"321","ENSMUSG00000008822","Acyp1"
"322","ENSMUSG00000008845","Cd163"
"323","ENSMUSG00000008999","Bmp7"
"324","ENSMUSG00000009013","Dynll1"
"325","ENSMUSG00000009075","Cabp7"
"326","ENSMUSG00000009090","Ap1b1"
"327","ENSMUSG00000009092","Derl3"
"328","ENSMUSG00000009112","Bcl2l13"
"329","ENSMUSG00000009145","Dqx1"
"330","ENSMUSG00000009185","Ccl8"
"331","ENSMUSG00000009248","Ascl2"
"332","ENSMUSG00000009406","Elk1"
"333","ENSMUSG00000009555","Cdk9"
"334","ENSMUSG00000009575","Cbx5"
"335","ENSMUSG00000009585","Apobec3"
"336","ENSMUSG00000009640","Dmap1"
"337","ENSMUSG00000009681","Bcr"
"338","ENSMUSG00000009876","Cox4i2"
"339","ENSMUSG00000010025","Aldh3a2"
"340","ENSMUSG00000010066","Cacna2d2"
"341","ENSMUSG00000010290","AI597479"
"342","ENSMUSG00000010476","Ebf3"
"343","ENSMUSG00000010592","Dazl"
"344","ENSMUSG00000010601","Apol7a"
"345","ENSMUSG00000010651","Acaa1b"
"346","ENSMUSG00000010755","Cars"
"347","ENSMUSG00000010796","Asz1"
"348","ENSMUSG00000010841","Cfap97d1"
"349","ENSMUSG00000010911","Apip"
"350","ENSMUSG00000011096","Akt1s1"
"351","ENSMUSG00000011148","Adssl1"
"352","ENSMUSG00000011154","Cfap161"
"353","ENSMUSG00000011158","Brf1"
"354","ENSMUSG00000011256","Adam19"
"355","ENSMUSG00000011382","Dhdh"
"356","ENSMUSG00000011463","Cpb1"
"357","ENSMUSG00000011958","Bnip2"
"358","ENSMUSG00000011960","Ccnt1"
"359","ENSMUSG00000012076","Brms1l"
"360","ENSMUSG00000012117","Dhdds"
"361","ENSMUSG00000012123","Crybg2"
"362","ENSMUSG00000012350","Ehf"
"363","ENSMUSG00000012777","Acp4"
"364","ENSMUSG00000012819","Cdh23"
"365","ENSMUSG00000013033","Adgrl1"
"366","ENSMUSG00000013076","Amotl1"
"367","ENSMUSG00000013155","Enkd1"
"368","ENSMUSG00000013160","Atp6v0d1"
"369","ENSMUSG00000013418","B4galnt2"
"370","ENSMUSG00000013483","Card14"
"371","ENSMUSG00000013523","Bcas1"
"372","ENSMUSG00000013584","Aldh1a2"
"373","ENSMUSG00000013622","Atraid"
"374","ENSMUSG00000013629","Cad"
"375","ENSMUSG00000013662","Atad1"
"376","ENSMUSG00000013787","Ehmt2"
"377","ENSMUSG00000013822","Elof1"
"378","ENSMUSG00000013921","Clip3"
"379","ENSMUSG00000013973","Dedd"
"380","ENSMUSG00000014077","Chp1"
"381","ENSMUSG00000014195","Dnajc7"
"382","ENSMUSG00000014226","Cacybp"
"383","ENSMUSG00000014232","Cluap1"
"384","ENSMUSG00000014313","Cox6c"
"385","ENSMUSG00000014329","Bicc1"
"386","ENSMUSG00000014355","Anapc1"
"387","ENSMUSG00000014453","Blk"
"388","ENSMUSG00000014496","Ankrd28"
"389","ENSMUSG00000014498","Ankrd52"
"390","ENSMUSG00000014542","Clec4f"
"391","ENSMUSG00000014554","Dguok"
"392","ENSMUSG00000014592","Camta1"
"393","ENSMUSG00000014599","Csf1"
"394","ENSMUSG00000014609","Chrne"
"395","ENSMUSG00000014633","Cmc2"
"396","ENSMUSG00000014668","Chfr"
"397","ENSMUSG00000014686","Ceacam16"
"398","ENSMUSG00000014725","Adam28"
"399","ENSMUSG00000014747","Ankrd53"
"400","ENSMUSG00000014773","Dll1"
"401","ENSMUSG00000014791","Elmo3"
"402","ENSMUSG00000014852","Adamts13"
"403","ENSMUSG00000014859","E2f4"
"404","ENSMUSG00000014905","Dnajb9"
"405","ENSMUSG00000015002","Efr3a"
"406","ENSMUSG00000015016","Acsf3"
"407","ENSMUSG00000015023","Ddx19a"
"408","ENSMUSG00000015083","C8g"
"409","ENSMUSG00000015085","Entpd2"
"410","ENSMUSG00000015092","Edf1"
"411","ENSMUSG00000015093","Clic3"
"412","ENSMUSG00000015134","Aldh1a3"
"413","ENSMUSG00000015143","Actn1"
"414","ENSMUSG00000015189","Casd1"
"415","ENSMUSG00000015202","Cnksr3"
"416","ENSMUSG00000015224","Cyp2j9"
"417","ENSMUSG00000015243","Abca1"
"418","ENSMUSG00000015337","Endog"
"419","ENSMUSG00000015340","Cybb"
"420","ENSMUSG00000015355","Cd48"
"421","ENSMUSG00000015357","Clpx"
"422","ENSMUSG00000015377","Dennd6b"
"423","ENSMUSG00000015396","Cd83"
"424","ENSMUSG00000015401","Cltrn"
"425","ENSMUSG00000015405","Ace2"
"426","ENSMUSG00000015451","C4a"
"427","ENSMUSG00000015452","Ager"
"428","ENSMUSG00000015461","Atf6b"
"429","ENSMUSG00000015467","Egfl8"
"430","ENSMUSG00000015488","Cacfd1"
"431","ENSMUSG00000015522","Arnt"
"432","ENSMUSG00000015575","Atp6v0e"
"433","ENSMUSG00000015702","Anxa9"
"434","ENSMUSG00000015709","Arnt2"
"435","ENSMUSG00000015714","Cers2"
"436","ENSMUSG00000015733","Capza2"
