"Row.names","logFC.X1","logFC.X2","logFC.X3","logFC.X4","logCPM","F","PValue","FDR","cluster_number"
"1","2610044O15Rik8_cholangiocyte",-2.19201916591013,-1.77456261051532,-2.37054089330532,-0.00616618880644479,0.656129680745904,5.68860497871672,0.00251351744099277,0.0173423659169874,1
"2","9930111J21Rik2_endothelial",1.09638794977476,1.47897665962769,2.52438597339579,1.32748592485053,3.7674624628842,5.5079467216925,0.00297424932990654,0.0195210701796567,2
"3","9930111J21Rik2_kupffer",1.11875989146231,1.91464856299676,0.760586396432656,2.22891467906847,4.48451698947458,10.7395515982088,4.84925866344718e-05,0.00105742610731609,2
"4","A1bg_hepatocyte",-3.31642784798734,1.45225972162791,4.29803400940912,-4.28268005446425,-1.52150390392951,7.00218817862131,0.000788827670821761,0.00756782082932711,1
"5","A1cf_endothelial",7.53255339060396,5.89545501916922,16.7900211528397,3.09881874464817,-2.53853087543553,6.70486304734567,0.00101571267421099,0.00909492606327495,2
"6","A1cf_kupffer",0.223096253740893,2.37903537535141,-0.645601876449866,2.31300554083388,-2.63585068576978,4.42680125534058,0.00855982048920387,0.0407653508309337,2
"7","A2m_hepatocyte",-11.1572753872576,0.934206253135297,-8.71845374427668,-18.0820984673818,0.279448558316289,30.5256423815042,7.55124128252345e-09,2.8833646637445e-06,1
"8","AA388235_kupffer",4.35285581049148,3.67197167974344,-0.620587833839311,2.91875324314693,-2.44803209173209,7.73027360399819,0.000434025866951451,0.00494807439504365,3
"9","AA465934_endothelial",3.02692124922566,2.70743308040543,3.61767262049275,0.991513553069759,1.05648916050292,7.75047056024992,0.000427070882066097,0.00489297506857661,3
"10","AA465934_hepatocyte",4.58961127188236,3.91511484487139,5.57386795032985,1.84372772930099,1.66749920300644,7.50546247718861,0.0012269719087675,0.0104022546340674,2
"11","AA465934_kupffer",4.38274839569848,4.81638139148998,5.65097392349032,2.41791613004849,1.51727090210264,12.5027344011492,1.58887470301993e-05,0.00048510451083376,2
"12","AA465934_stellate",4.16410664942743,1.45619532077064,3.08880148778528,0.961317817651495,0.191132966044268,8.03755928362553,0.000340246620704401,0.00415038766135137,3
"13","AA467197_neutrophil",-1.48294164191214,-4.86565411671917,-4.46515417945555,-3.65931719598583,3.11798161002878,27.2815735577378,2.16045796247018e-08,5.43116532850991e-06,1
"14","AA474408_neutrophil",-2.3284656335387,-4.36993914918009,-3.03895980333075,-2.0384583468586,-0.561176905091038,10.1453798886071,7.24508234211571e-05,0.00138748615653494,1
"15","AA986860_cholangiocyte",-2.76875846823047,-2.51057562973716,-2.58363374130442,-1.51828733269766,2.19307307691994,9.64032734002716,0.000103067954361159,0.00176252596247111,1
"16","AA986860_hepatocyte",-1.97929008825305,-2.21778849082356,-1.83862638540596,-3.53642061985758,-1.38478374075223,7.72299157134828,0.000436563528566795,0.0049648125370338,1
"17","Aaas_endothelial",3.5947991590807,1.29540742699449,1.04158349107349,0.530546000268494,2.03983944161273,9.58704017200684,0.000107040262907596,0.00180975395625159,3
"18","Aaas_hepatocyte",3.71675183550056,1.90650332559115,4.7282186671918,0.502581601479242,1.18291168087099,8.9785990460665,0.000166313372140095,0.00248968018127135,3
"19","Aaas_kupffer",3.02964013440437,2.67451642659898,2.90936201277976,0.839692736265427,0.49708813078883,7.69774722181436,0.000445486032046564,0.00503666734057397,3
"20","Aaas_stellate",5.24992693885674,0.303704717859712,1.45081070847435,-0.523418016464428,0.274142946395219,11.0665437111959,3.91037529536441e-05,0.000911267246836506,3
"21","Aacs_hepatocyte",2.51432634487022,3.41290557090255,3.1020612599644,1.62179884818449,3.54945854652599,10.126508832098,7.33974278111756e-05,0.00140075314277546,2
"22","Aacs_neutrophil",-1.40933442580438,-2.58828143883079,-2.60427853976644,-0.748385557948176,-0.860905519933524,4.3405414249605,0.00934907193091175,0.0433197567590918,1
"23","Aacs_stellate",2.63985631478514,1.14870162548277,2.31764454757959,0.460183451432604,0.408169867583827,4.58799636458488,0.00727058050824009,0.0364707435014398,3
"24","Aadac_neutrophil",-1.61605051509726,-3.74040646846674,-4.90472223857068,-1.54553607872413,-1.46712270905446,9.77677515763765,9.36072871143022e-05,0.00164934693566061,1
"25","Aadac_stellate",2.58128696444304,1.47628132466674,0.940687330325029,2.23138890976466,0.0623414737295275,5.71043909760713,0.00246328408020395,0.0170987622801912,2
"26","Aagab_kupffer",1.61982285015889,1.51597857060202,1.82574792793884,1.87547039583915,3.56742180317495,7.91899446798142,0.000373533701152813,0.0044505660016458,2
"27","Aagab_neutrophil",-1.33335919980611,-3.57227232395955,-3.01715022701348,-0.594406189668622,-1.53985659257369,5.03014029239639,0.00469443089160889,0.0269357681875479,1
"28","Aak1_neutrophil",-2.43732300443547,-2.64007163114477,-3.86509041123321,-2.74103224487058,-1.17573051743581,7.99504901315127,0.000351796054367665,0.00425362179239203,1
"29","Aamdc_cholangiocyte",-2.05044646485547,-1.89513664923538,-1.76235100715028,-0.145933553313536,2.34887629125541,6.08284786508617,0.00175446286410668,0.0134654990264992,1
"30","Aamdc_neutrophil",-0.94332458174808,-5.19727951680143,-3.55371293760666,-1.46844533076843,-2.60073399045765,5.46034194512203,0.00311031523375112,0.0200970885058251,1
"31","Aamp_neutrophil",-1.81184603155755,-2.64580723251788,-3.06289834234593,-2.35521141786186,0.352734095686182,8.43250636584508,0.000250624734925025,0.00332526395067115,1
"32","Aamp_stellate",2.28628603773838,0.663144850222125,1.89118255687693,0.238652411499855,3.86048638099188,4.74671520861628,0.0062032892600863,0.0326781450088491,3
