"Row.names","logFC.X1","logFC.X2","logFC.X3","logFC.X4","logCPM","F","PValue","FDR","cluster_number"
"1","2610044O15Rik8_cholangiocyte",-2.17729855989039,-1.75527257487076,-2.33325556262447,-0.00949835567781695,0.618002929492449,5.54911242135411,0.00320934811043336,0.0225156955588181,2
"2","9930111J21Rik2_endothelial",0.989029543799144,1.41355927271586,2.37773021373046,1.28051126425682,3.77548344158776,5.07325972709546,0.00497672744512736,0.0304122155994466,3
"3","9930111J21Rik2_kupffer",1.13708444242705,1.95411425338208,0.824298970079403,2.22838688930724,4.45015704376381,10.9884004926017,5.4267620741654e-05,0.00137863935136028,3
"4","A1bg_hepatocyte",-3.26862929322091,1.49819515588274,4.36953153954696,-4.28132551190499,-1.57801861212764,6.46884524622794,0.00143727599915803,0.0129223726788136,2
"5","A1cf_kupffer",0.0650125272556492,2.46202032583882,-1.19831549120975,2.73165763396279,-1.37219351861821,6.85573161939802,0.00104197075418937,0.0102706351916523,3
"6","A2m_hepatocyte",-11.0948300243919,0.898988315717639,-8.68333838412543,-17.9697565938843,0.225342440537066,28.7610528022257,2.59284665754672e-08,1.06013460870199e-05,2
"7","A2ml1_neutrophil",-0.37030163429066,-3.23813409138734,-3.27394087031194,-3.34957841286949,-1.04305773301153,6.1596195817257,0.00187118457676057,0.0155402592785763,2
"8","AA388235_kupffer",4.38977936576172,3.70318135797151,-0.674956777492489,2.91354903863743,-2.48132748583424,7.23606180809501,0.000766178950277665,0.00829821877309983,3
"9","AA465934_endothelial",2.71822599103228,2.50676396843976,3.19129865829718,0.864198451376406,1.09226530971574,6.78166317225497,0.00110736488199238,0.0107222007513783,3
"10","AA465934_hepatocyte",4.66477947438657,3.94647951718778,5.6317914308189,1.85112388020102,1.6442501941033,7.77833704240609,0.000909017492954529,0.00934272413642431,3
"11","AA465934_kupffer",4.3849860184115,4.83954768720057,5.67253350950557,2.41502477399671,1.52306199358768,12.2870098985034,2.47593469514118e-05,0.000818299475611592,3
"12","AA465934_stellate",4.08750158737129,1.47446362845134,3.12178174125838,0.913221885633084,0.187736340137896,7.60206418950241,0.000574401171383338,0.00679835116645093,1
"13","AA467197_neutrophil",-1.46035848015326,-4.82203049494379,-4.38661100824103,-3.66708276423181,3.05151479912404,27.1362998755297,4.32505660138147e-08,1.41585647038051e-05,2
"14","AA474408_neutrophil",-2.36902192422706,-4.4933809839168,-3.23795630035271,-2.06868769968437,-0.428014958128201,10.260646834488,8.64723704264e-05,0.00186856554705614,2
"15","AA986860_cholangiocyte",-2.74335931317321,-2.46532864879849,-2.50298205299771,-1.52311695499684,2.12627306087513,9.3131151705873,0.000163673583019796,0.00285008764212879,2
"16","AA986860_hepatocyte",-1.8136926610854,-2.16632217544211,-1.65208824345825,-3.50859089810801,-1.36458817103676,7.18040879326497,0.00080101575176162,0.00854407676614174,2
"17","Aaas_endothelial",3.46511095566359,1.23468751829371,0.881884488423605,0.460118054425818,2.02306959503008,9.17414454315386,0.000180307621063125,0.00304406470749395,1
"18","Aaas_hepatocyte",3.81283808453654,1.9667488885869,4.79661640932712,0.51824094579516,1.17811358434894,9.22150233497538,0.000174440643153525,0.00298048391589557,1
"19","Aaas_kupffer",2.97129299953839,2.6825513317929,2.85630781058061,0.828590222733468,0.546368847494263,7.62262082129181,0.000565305656391809,0.00672555704112089,3
"20","Aaas_stellate",5.19903129114639,0.336034958483952,1.41541580411698,-0.5587526223711,0.254894561661091,10.5776187472314,7.04179478090167e-05,0.00163634028654351,1
"21","Aacs_hepatocyte",2.54595118386303,3.44214636498979,3.14664924287229,1.61665674795896,3.50388715127701,9.87058163211934,0.000111943047569833,0.00221499143850614,3
"22","Aacs_neutrophil",-1.4857584091066,-2.86291123591851,-3.03591154963148,-0.86181562959518,-0.480146977206433,5.18469958567843,0.00448412731436471,0.0283072629835007,2
"23","Aacs_stellate",2.53075183205706,1.16049483727991,2.23346575866548,0.410283150499536,0.442514774913342,4.33200937045632,0.0101996758842028,0.0493895660932204,1
"24","Aadac_neutrophil",-1.78315010817701,-4.74733212245735,-6.06017784798129,-1.60957380273098,0.58800394132408,15.4114379835342,4.60055166633767e-06,0.000270335112848464,2
"25","Aadat_cholangiocyte",-1.96506877411928,-3.88912766683277,-3.4531911764949,0.719700750577202,-1.25017266774346,5.89674230105369,0.002353175311358,0.0181757819804242,2
"26","Aadat_neutrophil",-2.71561420307706,-4.00335326950145,-4.89586204459739,-1.30831055351333,-1.4638907995595,9.49319938098076,0.00014456191504309,0.00262620812328281,2
"27","Aagab_kupffer",1.63436908056357,1.55412182947362,1.88609015579901,1.87360894157108,3.52958553732462,8.21841768347613,0.000359408547938048,0.00489622897599117,3
"28","Aagab_neutrophil",-1.32487345461142,-3.62589208996672,-3.13483999599793,-0.597714526756515,-1.52205083320173,4.91001364908538,0.00580744789861173,0.0338178465199897,2
"29","Aak1_neutrophil",-2.5021937224905,-2.77815392177886,-4.00042402991027,-2.73291740355446,-0.997574850168516,8.28013906417538,0.000343292741505585,0.00473943419049093,2
"30","Aamdc_cholangiocyte",-2.03919128177633,-1.87254580982041,-1.71984450299657,-0.145901989485192,2.31059773475954,5.98768456861501,0.00217266478280304,0.017251422683059,2
"31","Aamdc_neutrophil",-1.14599849092012,-5.53018032527207,-4.07737876034268,-1.51360646227835,-2.21063284033717,6.14614095166858,0.00189309275921938,0.0156638536707732,2
"32","Aamp_neutrophil",-1.81528304143231,-2.70530668720703,-3.1609577820384,-2.37676920514954,0.473965589057456,8.54133637423422,0.000283305423646693,0.00417012578548396,2
