"logFC.X1","logFC.X2","logFC.X3","logCPM","F","PValue","FDR","Symbol","ENSEMBL","celltype"
"ENSMUSG00000026043.kupffer",6.54178654729323,5.32147073462496,3.10843646817601,0.154649852518502,26.1889998213145,1.55115429464319e-08,6.86107901418383e-05,"Col3a1","ENSMUSG00000026043","kupffer"
"ENSMUSG00000002068.stellate",2.02833139630756,8.32315824623371,-1.7850418609495,-0.126646877299473,26.143840012573,1.58023603554117e-08,6.86107901418383e-05,"Ccne1","ENSMUSG00000002068","stellate"
"ENSMUSG00000022385.stellate",5.95867340524535,15.0345729977598,0.746287626838104,-0.0790629252210617,28.3120599146559,1.67801125775881e-08,7.05792510154077e-05,"Gtse1","ENSMUSG00000022385","stellate"
"ENSMUSG00000096719.neutrophil",-4.85023442153646,-4.4866756354887,-3.45874717464867,2.61683901002259,25.8293982317838,2.27507477432512e-08,9.27927164621405e-05,"Mrgpra2b","ENSMUSG00000096719","neutrophil"
"ENSMUSG00000041431.endothelial",5.80740378043789,2.50201201347962,-0.728171384334078,2.19243202125581,25.1906377804187,2.35149884023449e-08,9.30889229118239e-05,"Ccnb1","ENSMUSG00000041431","endothelial"
"ENSMUSG00000020330.endothelial",5.71434124845206,2.93510632612278,-0.551761035802666,2.80325891642112,25.978484717207,2.47575739657126e-08,9.52077264425445e-05,"Hmmr","ENSMUSG00000020330","endothelial"
"ENSMUSG00000031146.stellate",-0.436056715298579,6.12147022134201,-1.58046148527742,1.39721936415783,24.8947396867472,2.66603721904901e-08,9.86104950191736e-05,"Plp2","ENSMUSG00000031146","stellate"
"ENSMUSG00000017737.monocyte",3.72023167562282,9.12496807661794,-0.101089319017901,1.95091252511401,26.6963907346476,2.82573982116293e-08,9.86104950191736e-05,"Mmp9","ENSMUSG00000017737","monocyte"
"ENSMUSG00000078688.hepatocyte",4.99413950859734,-0.414794538284237,3.06142908521236,1.04030502981123,24.7511981210144,2.83451340378395e-08,9.86104950191736e-05,"Mup2","ENSMUSG00000078688","hepatocyte"
"ENSMUSG00000022385.endothelial",5.64776349374798,3.98641293813926,-0.176440829123312,1.09460542055943,24.7324863090722,2.85729836380559e-08,9.86104950191736e-05,"Gtse1","ENSMUSG00000022385","endothelial"
"ENSMUSG00000026683.endothelial",5.47311890791099,3.21157606913511,-0.363380494061748,2.04361324787519,24.6447266249901,2.96679744389539e-08,9.98026971290176e-05,"Nuf2","ENSMUSG00000026683","endothelial"
"ENSMUSG00000001473.stellate",1.65153160339394,5.28226421475061,-1.45369943057581,3.8891380921971,24.9692650967575,3.10294231689258e-08,9.98026971290176e-05,"Tubb6","ENSMUSG00000001473","stellate"
"ENSMUSG00000041605.hepatocyte",5.67336088382239,14.5297731484367,2.04898932489543,-1.26888768502205,24.4776491329051,3.18782145492177e-08,9.98026971290176e-05,"Inava","ENSMUSG00000041605","hepatocyte"
"ENSMUSG00000045328.endothelial",5.97297745164721,3.41204141043845,-0.717612543382705,2.71439049575294,26.9630534050821,3.18844243257434e-08,9.98026971290176e-05,"Cenpe","ENSMUSG00000045328","endothelial"
"ENSMUSG00000034883.stellate",2.72098102920454,12.7614506013906,-1.48326807888173,-1.17266120301504,24.3835283326575,3.32000639030798e-08,0.000101558995479521,"Lrr1","ENSMUSG00000034883","stellate"
"ENSMUSG00000005410.stellate",0.700619305892277,8.39806830771343,-1.6165654021212,1.68371567742262,29.1712550163831,3.56114800701591e-08,0.00010651472825607,"Mcm5","ENSMUSG00000005410","stellate"
"ENSMUSG00000038146.stellate",3.91792001961563,4.54784297002724,2.62065980903372,0.839463810474743,24.0969280244437,3.75977213710647e-08,0.00010961598339845,"Notch3","ENSMUSG00000038146","stellate"
"ENSMUSG00000029661.kupffer",6.09564970924817,2.25947133983372,2.3111197586981,-0.329152059715046,24.0558573707104,3.82771495417927e-08,0.00010961598339845,"Col1a2","ENSMUSG00000029661","kupffer"
"ENSMUSG00000001131.stellate",-3.25524858072593,4.77584729770183,-1.5139807046406,1.73621543076929,23.9556354064335,3.99906591998363e-08,0.000112137140951274,"Timp1","ENSMUSG00000001131","stellate"
"ENSMUSG00000022665.kupffer",4.86547718329392,2.95727221201344,2.90349409109755,-0.493539446082664,23.7496682574235,4.37741864837097e-08,0.000118776819161703,"Ccdc80","ENSMUSG00000022665","kupffer"
"ENSMUSG00000061615.stellate",4.5629993645115,20.0006256360059,1.00150810237298,-1.63263054901046,23.7316195799408,4.41234580380187e-08,0.000118776819161703,"H2ac4","ENSMUSG00000061615","stellate"
"ENSMUSG00000028766.stellate",-2.0442298561893,2.73196681113899,-2.51176453915407,3.16453662878928,23.6838146649557,4.506299548274e-08,0.000118927430195978,"Alpl","ENSMUSG00000028766","stellate"
"ENSMUSG00000037544.hepatocyte",2.80039702638404,9.83469984617864,1.27894278163053,0.420444209817193,23.5717236718285,4.73506382949438e-08,0.000121520144025083,"Dlgap5","ENSMUSG00000037544","hepatocyte"
"ENSMUSG00000024503.hepatocyte",5.10072943603882,5.66414197562771,2.62279580753324,1.30804125268595,23.5394550704056,4.80319195737528e-08,0.000121520144025083,"Spink1","ENSMUSG00000024503","hepatocyte"
"ENSMUSG00000001270.stellate",2.37962659654281,5.98628393015667,0.51002646844492,5.55561733865765,23.5057842799358,4.87539583446349e-08,0.000121520144025083,"Ckb","ENSMUSG00000001270","stellate"
"ENSMUSG00000038252.endothelial",4.52476100555801,3.53551394024333,-0.585481859625339,2.6977423055947,23.4637765092488,4.96710370257896e-08,0.000121554961809512,"Ncapd2","ENSMUSG00000038252","endothelial"
"ENSMUSG00000023015.endothelial",5.065617956468,3.47555813618261,-0.213017960939878,3.49766666381425,24.3031618372054,5.24344039904079e-08,0.000126026089990945,"Racgap1","ENSMUSG00000023015","endothelial"
"ENSMUSG00000037725.endothelial",5.47390329308067,3.05774696045246,-0.270471411882079,2.91345698711126,24.0471791566788,5.97195112747566e-08,0.000138921183769289,"Ckap2","ENSMUSG00000037725","endothelial"
"ENSMUSG00000032783.endothelial",6.06441926221565,2.8091275119751,-1.17050809885826,0.877282574455353,23.0458738441505,5.98638047090461e-08,0.000138921183769289,"Troap","ENSMUSG00000032783","endothelial"
"ENSMUSG00000034906.endothelial",5.17755785931368,4.29839260519914,-0.361114799901457,1.75043116493301,22.8993423188521,6.39477496917699e-08,0.000143227903015884,"Ncaph","ENSMUSG00000034906","endothelial"
"ENSMUSG00000031451.monocyte",3.5700587752796,6.07168070033673,2.86389362401806,1.93371261385166,22.8700955082013,6.47978788353655e-08,0.000143227903015884,"Gas6","ENSMUSG00000031451","monocyte"
"ENSMUSG00000027883.stellate",4.22496293431153,8.57408781143642,-0.816973383944422,-0.0959153327756323,22.8661989327056,6.49120485301859e-08,0.000143227903015884,"Gpsm2","ENSMUSG00000027883","stellate"
"ENSMUSG00000030677.endothelial",4.87638699572359,3.31639996744471,-0.353691017555684,2.70225370908045,22.7807333629225,6.74708861002112e-08,0.000144729491079228,"Kif22","ENSMUSG00000030677","endothelial"
"ENSMUSG00000087382.hepatocyte",-3.32795392927182,-5.55706555079103,-2.57120143022829,1.5098124399478,22.771843512203,6.77431568396636e-08,0.000144729491079228,"Ctcflos","ENSMUSG00000087382","hepatocyte"
"ENSMUSG00000025912.hepatocyte",2.00482876871474,7.90072652972478,0.275794854845987,1.70072335429445,22.5918794117802,7.3514400002286e-08,0.000152380223937653,"Mybl1","ENSMUSG00000025912","hepatocyte"
"ENSMUSG00000050271.stellate",4.7625425637562,5.44574414087765,2.88305797460372,-0.770281166927852,22.5241559263606,7.58200443725389e-08,0.000152380223937653,"Prag1","ENSMUSG00000050271","stellate"
"ENSMUSG00000029414.stellate",3.83318505990814,11.608090552971,-1.41399341477661,-0.0300049075337549,25.9917246357128,7.59085327933945e-08,0.000152380223937653,"Kntc1","ENSMUSG00000029414","stellate"
"ENSMUSG00000028464.stellate",1.60394175375762,5.26687779867762,-0.142231943332106,5.45485122041891,22.5172078874276,7.6060913192906e-08,0.000152380223937653,"Tpm2","ENSMUSG00000028464","stellate"
"ENSMUSG00000019916.neutrophil",-1.78668264774765,0.0771941894327651,-5.78681070065636,0.780433315590773,22.4907715875143,7.6984867512856e-08,0.000152380223937653,"P4ha1","ENSMUSG00000019916","neutrophil"
"ENSMUSG00000001525.stellate",1.03976064198212,5.76295633095953,-0.838759895029655,6.84478319759313,23.5678851215195,8.12668078408829e-08,0.000156850518649158,"Tubb5","ENSMUSG00000001525","stellate"
"ENSMUSG00000024795.endothelial",5.1407054526985,3.10521080203678,-0.565773754299202,2.57271631155391,22.6265607182844,8.15740163559174e-08,0.000156850518649158,"Kif20b","ENSMUSG00000024795","endothelial"
"ENSMUSG00000021214.hepatocyte",7.14052878326826,9.19307778378328,3.5442598951783,-0.841122765987536,22.3007060154484,8.39904098288742e-08,0.000159222157765171,"Akr1c18","ENSMUSG00000021214","hepatocyte"
"ENSMUSG00000039055.stellate",2.90045546102391,11.3804772084553,-1.28013772583435,-1.51081180014882,22.18594148089,8.85470852307095e-08,0.000165528937273786,"Eme1","ENSMUSG00000039055","stellate"
"ENSMUSG00000043099.neutrophil",-3.29099707597819,1.46020288117321,-5.02956732448494,-0.87797953371909,22.1330583421676,9.07348285124994e-08,0.00016624165290551,"Hic1","ENSMUSG00000043099","neutrophil"
"ENSMUSG00000032744.stellate",3.72352198255365,5.46818555850898,2.19936284933787,2.82023470003607,22.1172824104139,9.13985728774092e-08,0.00016624165290551,"Heyl","ENSMUSG00000032744","stellate"
